pair_id,evidence_hand_1,evidence_hand_2,evidence_hand_3,evidence_hand_4,evidence_hand_5
P005B60F656EA,H4B802C8C63A642,H659EA655345404,HD74212C7D14496,H69B3AF0C5E753E,H3BD669784E42AC
P046F82FBB6DB,H0B32DBD2F00CC8,H1EA19ED5FCEA27,H3DA1EA0CC3E6FB,H72121E930128F3,HBE2C92369CFD70
P05490F7640CE,HEAA1E586880D29,H916B5475505216,H10BFCC6BCCD7FC,HDF205DB818FEE9,HD4358FAD98FCBC
P0563115D9420,HBDDCA35F8A63AB,H5D4688ABC75BF3,H52BF6C0BEE00E9,H54D3D771F886CD,H5500026FA3B2F4
P07385E2D82EE,HC1CE8AB993391B,HFABCF5AD200F18,H855E14541829FE,H525C1CA451AFA5,H55C7E8DFC657B3
P074E4EC05254,H1A7E8C65EA0CC5,HAFEDB7077CCF85,H5E314A8DF30689,H4C376A0FB2178F,H602C1D05287A46
P077D27D4F294,H2B7DEF2D847E39,H135AF8E03F487F,HCC1C3D532DACAD,HDBF7D98699D986,HE7C0D31B196921
P07E8A56EF995,H37F3D3E3175550,H48FA6C929EC7C0,HF0F1FF62322F72,H613F36C2BCD066,HB2A4FB7B7A0ED7
P089CF4DA4586,HEDCE457FD28DB9,HE79DA393964C3F,H1D7E9264F7FC36,HB7E79ADF0E4B52,H0F4DAB31F156E4
P08B2D04EF77B,H27ADE6446F326C,HD061257C11D84E,H31F22970D0771F,HA231ED1AD972C9,H5BF823153187F3
P09663279A2C3,HA4203A6CAB21BE,HE1CD0A2311CA07,H233F601F8BC8F9,HB5484B5E46A60D,HFA69B265333278
P0AD348F7F29F,HA480BBF6507736,H3061DF568B9DFB,H8C98A18E81F660,H43D6917FD0C99C,H1049D7DD31D40C
P0C268B8CBDCC,H38BD97EA4774F3,H80527602AB9820,H77F3885762BD92,H981EF818B3C0DA,H02C16B1ABCC832
P0D32A85AC52B,H60B02159EE0780,HE8B8A85415D68E,HAF8E29D1AB5F31,H4D43FC0CFC85D3,H7E42869C6C9F47
P0DC6ED64D7B6,H036C7A0F074818,H858C71A781BDDB,HA7B714C32BA2E8,HCEDD1074F5D44C,HC8F4EB23E7D606
P11AB273A6AAF,HAC66D89899E4B7,H3A9B90C6D8DEBF,H71364C79518E5A,HFBD4B088CD1DCE,HA0DEB6B9C77CA9
P12B844FB0DA7,H8C685016CFC22A,H5C1DD943F026FB,HACDFF350B2F230,H3B9FCB35EBF666,H50ACD537128A9C
P13803BB881B9,HE43A14037AFD56,HE17D6D5BCB028D,HF2386F14910468,HCD5BE430F90D62,H4D7776F14DE4AA
P14AA2B923ACE,HEBD6AC5E6EFF14,HB25BA1AC5B433C,HD565A760597B8F,H69831F67ADF2E9,H7577A34369284A
P15730CFB4B78,HF1156816806A87,H39A25973EF5F1A,H92BA13E5AFBAB3,H9265780FF957AC,H3C01000B008F8C
P1670A312ECA3,H4E1805C8518D38,H80F4FE70FD4FC8,H745EAD08AA2421,HAF81D9F5AD6397,H5E7E3806F7A915
P17969747184F,H4C72051913256E,H549E824EA1C64D,HF9D93FB519F455,HBD06D46B4A4775,HC93872E1AAB54B
P18BFDC009CA6,HF3E7092952954D,HEAAE4A1E7CCC35,HD7BC93442FB3B0,H5237FC18AADFAF,H05CEE6C59DFD4C
P1BB69DE6C7AA,HC9BE0777934965,H2C4A14CE66F235,H47FFF88DA92DAC,HA7F849583E9C15,H052946D9EB2E27
P1CB2EDB0B114,H11833D6550C9B1,H0CB75D072FCD12,H3620B3C5037765,H07BAC7A43408B9,H8660966BAC7AE6
P1E57285E3378,H4AFE950C0EFB13,H26504CF76E1C60,H9778B3618A4D70,H71E80EEC363103,HC2D1FB56E04DCC
P1F8F584A9C54,HAD9D3E1848A8A8,HD5ACB7FB360F17,H2C433ECFC70CE9,H972A16834A665E,HD7D30713FBD5BA
P1FD13B4CBE11,HD1822D833EC6C1,H87540A8A16B9BD,H253B5143160270,H07119E0CC62A79,H7578EA96CDF2BC
P2208939EC568,H62A16CA3096F4A,H54077DE8767041,HE3BCA9FD7F93CE,H2DB11C3CE5EE12,HA9D87E7C859637
P22F77FE1B871,HFB177DF31E1F47,H25E34F1179F105,H223266CF62D98F,H9F9C8B844D57ED,H90D8CE7B08947A
P232151B1D218,H71F4441A1AD0B8,H78656B9FB7A873,HD1FD8FA732A862,H3388F313F9B74D,H1CF472F5F5C964
P2414B63565CA,H22EA8EE8F2B390,H3922DAB10DC22C,HD8EC79ADF74ECB,HB0B7995494F745,H859DBCF50E2749
P265AAA587567,H2641064D526F60,HD6BAA222352E72,H84D69DFED3CA71,HB23D85CF6A07C1,H19B0E9BFA233AD
P2A19529B788C,H331BBF3827BC57,H55793FCFCB4449,H575B1FAC469320,H519616AD4A41A2,H6FF662B3737D0E
P309D8B33BBA6,H6E98ADB9794F78,H88443D14546682,HD3E3BB9303B1B1,HE88514F6E4B6F0,H778D95653CAAAB
P3117E64ED97D,HA9A525BC52349F,HA25AC26F676D34,H86D957E6E82370,H0F443518680F68,H4ED0154C1AA1C6
P33CD764EDEC2,H4650060C1C9465,HC092BD95B72DC0,HE7881863B58400,H898FB7914BECED,HBF858376131E64
P3695CABBB5DF,H228DA85C3A48B0,H385998326D5C9B,H85F778B9E2F41B,HF5506AF1C491E7,H7C55FE92837D7F
P3C4548DB9363,H278068EDA84E78,H5B11D3C05365EF,HEC2499DD816B06,HE17EFE683D377D,H1A05D4A31FF3AE
P3D811FF659FF,H9CB106D884BBB2,H80822BAE10818E,H9909FF9E6FF258,H057A62436028C7,HC0FACF6E2EF2CF
P3E7D8182DF36,HE8EF3D992C3402,H3312D7A0A85ED9,HCA048E8DCC6A0E,H8A9A586E980853,HF6FF545938A22A
P3EEEBB1BA76C,H0DFF6AEC6A4659,H80ADF3598ACC83,H78AC39417EC37B,H44C3646528DAC5,H09477A8756B95B
P3F94530D8BB3,H821BA90BC44FCF,H748A763A425672,H18FCE91945331A,H469CC17AFB07D7,HE6BE7D384D6E6A
P40553C985D72,H0D8B047DAE9EA5,H89C3A70EAD45FF,H838ECED136381D,H40E2E8B114FC92,HC616CD3FA7EF2E
P409F8EB88FFD,H655B772C676951,H2B60BA8444E7ED,H29C76E709AECD1,H4244D0D10CE2F0,H6141341A5D21B5
P428DE5A18BB2,HCE6103F0AC199E,HB901C464002054,H40F1709E7166EE,H62272F9BCEF485,H28AD6B74DCF822
P449F98836531,H2DBC71647EF410,H966EF1D4CFCAB3,H14C1A524021513,HE0CB79AD1F0E2E,H268E6F71691135
P465451BCFE97,H54525D54E8ED01,HFCAB0377B1C79E,HA2FFEA5F453930,HD4B6D81235DCBC,HCBFFC3177969CF
P46F8076D078F,H618BC89C172E03,H3AD6A1E3348262,H1D5ABE67A0BA85,H9C2C2A30429A55,H259AED7EE93F1C
P47FE0ACC156B,H96B5BCBAFE6631,HF8CFAE3CA77EB1,HC7EA838D65E029,HAFB18AC12A50D1,HDF74D52D2BD3CD
P482311F1ECF2,HC6EB2A9DFEDCC2,HB3D2650274F0FA,HF4A86EDD3BED7C,HBF723ED1D94D85,H0ECC6FFEC13E3B
P49690A8E1EE2,H9BA6FA0AF75476,H6D4849C28DB775,HDEA4EE2F7D3BB8,H87BDE3F355357A,H412D27862010DC
P49CE34872F19,H6A6AD252061070,H6CA1A3581F7F0C,HA9EE9A1EBAA3DB,HEA3FAFCFB8136E,H71A548DA86B444
P4D124D553324,HDFFB58A314EF00,H6A5039100FA053,HEA584240C3052E,H1D33DDF3599BBA,H24D239E968F20B
P4E17F2E02B3F,HDC209F16123C73,HA1FA95CCE20510,HD76782F3DB49A9,HD0EB77313BD731,H43CA85DEDC4A4A
P4E84FDEA962C,H0F2D2777B85585,H4F4B0109235FF4,H75FA068272F468,H18BCC01363F681,H4896EEDB920F2F
P4FFA6A0AB0C2,H750F6CAF836A0C,HB34B88E45DE803,H84FCFBE9209485,HF2A457B31D9063,HB23463843EB35D
P50D0EBBFE283,H1C80422FACE7D8,HFFE77EEC03E2A5,HF5183AC8BE36CA,H4E09F1446608A5,H4A6A2E47B60337
P51173460553A,H6A0F853A3A2505,H8875405639AEF0,HECBDF94FF4EF11,HB04AF94E7CDFE6,H8C776CD5F282CD
P54C4B21F4F26,HC58E7FFE02AC63,H61835F028B852E,HE41052EDD11329,H1E49CE2846BB72,H8B2C84BD7FF4F9
P54D186A8C601,H5C5FB46CA60F8B,H655EC8D2B9D15B,H52DB4215C355BE,H3AEE7FC6BB0EB1,H394C585202A82D
P55643F874453,HE27426E517298F,H93C7DA84303EB6,HB7E91466A2BE7C,HFCDFF5D1BC181F,HE3E70D63EC8FE6
P55D3CD4294C1,HCFB2872F6A216C,H220F337FC86F4D,H83A32DE6192163,H4E1A28D940880D,HD49648FD6C9E06
P567ADC0DFE59,H5C2001B93A2959,HB482DBAEA22E74,HFEE5310B7D4242,H49320DEF2E50D5,H9B39F4CACA389B
P56F4A5359935,HA78F6CA14D47E0,H92CD35E5544F76,H16B394689F39B1,HAEEAE0EE1DA8FB,H251353373C151B
P588D0CEB74D2,H9EB7DB194EE168,H4EB2A1CE00D7FD,HAE447F666628A8,H1903B82B2D9764,H3725CE53ADADFF
P5A103074A885,HDADE64F9C36547,HE0978A9F208760,H7C1E7F1D0DA813,HAFACED37B67DAB,HD09FFD617CDED2
P5A506CA3CA8C,H0602729EF04029,HCE6E38830F958F,H323F072B17F84B,HB08FD71191A670,H02C277C469774E
P5BBB06BF99C9,H6A2D41CB96231B,H95B0460160D43C,HD8BA570D45F0AE,H5CC98A2F8610D3,HF88AFB8CE3195E
P5DE012B07B5F,HB6B4E56B96EB2A,H8C06181858C16A,HA9FE29571A5932,HFE9E1C05706943,H2A0861CB47C416
P5E08B89EAACA,HB8C156E24B60F4,HC3B19979238AA0,H1FB9E48FF0F963,HCE0B3F37DE4F87,H2B8900D20DECF6
P5EEC86E24D71,H81530E01A1380B,H20F26A02D0FCD3,H4D2E129858F995,H19384B9A8F1E9D,H6AE79EA671DCED
P5F35848FC2F5,HAF1B2402EE90B5,H539AB09B80BB05,H43D844B9BD56A1,H8887C74ECC6D41,H36C26B5892B788
P5F902DD26F4C,H0D3B529B78BADF,HC02F24D3827A9F,H61D491D939629D,H44DE0B0AEA927A,HAE75F28A02DBDE
P604FAD1E2FF0,HC22DD0E5D5079D,H531339BD09181F,H61917DB5F759D1,HA8D9B816977EBE,H3264338A7C3F12
P60A3E09D0CF8,H5EEEB57743448E,H8986037B1BE7FF,H70E4BB38EDB1DB,H4353BB2811870E,H650053666A3DDB
